EVENT_ID,STATE,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
86902,SOUTH CAROLINA,2008,May,EF0,,-81.764,,-81.694,0,0,0,0,0.00K
79485,TEXAS,2008,February,EF0,,-94.99,,-94.99,0,0,0,0,0.00K
86903,SOUTH CAROLINA,2008,May,EF0,,-81.708,,-81.649,0,0,0,0,0.00K
74130,SOUTH CAROLINA,2008,March,EF1,,-81.5176,,-81.4991,0,0,0,0,0.00K
74131,SOUTH CAROLINA,2008,March,EF0,,-80.83,,-80.84,0,0,0,0,0.00K
74133,SOUTH CAROLINA,2008,March,EF0,,-81.7,,-81.4503,0,0,0,0,
139351,WISCONSIN,2008,July,EF0,,-92.3227,,-92.3206,0,0,0,0,0.00K
96090,TEXAS,2008,April,EF0,,-97.457,,-97.457,0,0,0,0,0.00K
139759,LOUISIANA,2008,December,EF0,,-93.46,,-93.4555,0,0,0,0,0.30K
146347,MISSOURI,2008,December,EF0,,-94.0165,,-94.0119,0,0,0,0,5.00K
146348,MISSOURI,2008,December,EF0,,-94.1939,,-94.1897,0,0,0,0,0.00K
147561,MISSOURI,2008,December,EF1,,-91.0072,,-90.9866,0,0,0,0,0.00K
147566,ILLINOIS,2008,December,EF1,,-91.1333,,-91.1174,0,0,0,0,0.00K
147568,ILLINOIS,2008,December,EF0,,-91.0804,,-91.0686,0,0,0,0,0.00K
129379,MINNESOTA,2008,July,EF0,,-93.8442,,-93.7566,0,0,0,0,0.00K
147545,MISSOURI,2008,December,EF0,,-91.5458,,-91.4588,0,0,0,0,0.00K
72618,MISSISSIPPI,2008,January,EF1,,-90.8003,,-90.7539,0,0,0,0,20.00K
73274,MISSISSIPPI,2008,January,EF0,,-89.9554,,-89.9255,0,0,0,0,0.00K
86909,SOUTH CAROLINA,2008,May,EF0,,-81.606,,-81.623,0,0,0,0,
147550,MISSOURI,2008,December,EF0,,-91.4056,,-91.4218,0,0,0,0,0.00K
72430,FLORIDA,2008,February,EF0,,-82.2,,-82.2,0,0,0,0,0.00K
147044,NORTH CAROLINA,2008,December,EF1,,-80.4488,,-80.4406,0,0,0,0,0.00K
72409,FLORIDA,2008,February,EF0,,-82.17,,-82.17,0,0,0,0,0.00K
139425,NORTH CAROLINA,2008,November,EF1,,-77.29,,-77.2784,0,0,0,0,50.00K
83637,LOUISIANA,2008,February,EF0,,-91.83,,-91.8263,0,0,0,0,15.00K
83638,LOUISIANA,2008,February,EF0,,-91.88,,-91.8771,0,0,0,0,20.00K
74657,GEORGIA,2008,March,EF0,,-81.94,,-81.94,0,0,0,0,
132863,ALABAMA,2008,August,EF1,,-85.5981,,-85.592,0,0,0,0,30.00K
132864,ALABAMA,2008,August,EF1,,-85.0817,,-85.0796,0,0,0,0,75.00K
134181,FLORIDA,2008,August,EF0,,-83.9292,,-83.9298,0,0,0,0,0.00K
134195,FLORIDA,2008,August,EF0,,-85.3593,,-85.3583,0,0,0,0,0.00K
74686,GEORGIA,2008,March,EF1,,-81.6919,,-81.6816,0,0,0,0,1.00K
79622,MISSOURI,2008,January,EF0,,-91.636,,-91.6355,0,0,0,0,0.00K
81042,ILLINOIS,2008,February,EF0,,-88.9962,,-88.9942,0,0,0,0,
107656,LOUISIANA,2008,May,EF0,,-92.05,,-92.0454,0,0,0,0,100.00K
107660,LOUISIANA,2008,May,EF0,,-92.2156,,-92.1233,0,0,0,0,50.00K
107561,SOUTH DAKOTA,2008,May,EF0,,-97.23,,-97.23,0,0,0,0,0.00K
107593,SOUTH DAKOTA,2008,May,EF1,,-97.154,,-97.118,0,0,0,0,
107667,LOUISIANA,2008,May,EF1,,-92.0176,,-92.0091,0,0,0,0,3.00M
107609,SOUTH DAKOTA,2008,May,EF1,,-97.105,,-97.071,0,0,0,0,100.00K
105948,KANSAS,2008,June,EF0,,-101.3014,,-101.3014,0,0,0,0,0.00K
105950,KANSAS,2008,June,EF0,,-101.1914,,-101.1914,0,0,0,0,0.00K
105952,KANSAS,2008,June,EF0,,-100.48,,-100.48,0,0,0,0,0.00K
107621,TEXAS,2008,May,EF0,,-93.9324,,-93.9295,0,0,0,0,10.00K
107638,LOUISIANA,2008,May,EF0,,-93.2425,,-93.2377,0,0,0,0,5.00K
107639,LOUISIANA,2008,May,EF0,,-92.5827,,-92.5789,0,0,0,0,35.00K
